"","Pair","Ligand","Ligand.name","Receptor","Receptor.name"
"27","Adam2_itgb7","Adam2","ADAM metallopeptidase domain 2","Itgb7","integrin, beta 7"
"28","Adam9_itga3","Adam9","ADAM metallopeptidase domain 9","Itga3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
"29","Adam9_itga6","Adam9","ADAM metallopeptidase domain 9","Itga6","integrin, alpha 6"
"30","Adam9_itgav","Adam9","ADAM metallopeptidase domain 9","Itgav","integrin, alpha V"
"31","Adam9_itgb1","Adam9","ADAM metallopeptidase domain 9","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"32","Adam9_itgb5","Adam9","ADAM metallopeptidase domain 9","Itgb5","integrin, beta 5"
"33","Adcyap1_adcyap1r1","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Adcyap1r1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I"
"34","Adcyap1_sctr","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Sctr","secretin receptor"
"35","Adcyap1_vipr1","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Vipr1","vasoactive intestinal peptide receptor 1"
"36","Adcyap1_vipr2","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Vipr2","vasoactive intestinal peptide receptor 2"
"37","Adipoq_adipor1","Adipoq","adiponectin, C1Q and collagen domain containing","Adipor1","adiponectin receptor 1"
"38","Adipoq_adipor2","Adipoq","adiponectin, C1Q and collagen domain containing","Adipor2","adiponectin receptor 2"
"39","Adm2_calcr","Adm2","adrenomedullin 2","Calcr","calcitonin receptor"
"40","Adm2_calcrl","Adm2","adrenomedullin 2","Calcrl","calcitonin receptor-like"
"41","Adm2_ramp1","Adm2","adrenomedullin 2","Ramp1","receptor (G protein-coupled) activity modifying protein 1"
"42","Adm_calcr","Adm","adrenomedullin","Calcr","calcitonin receptor"
"43","Adm_calcrl","Adm","adrenomedullin","Calcrl","calcitonin receptor-like"
"44","Adm_gpr182","Adm","adrenomedullin","Gpr182","G protein-coupled receptor 182"
"45","Adm_mrgprx2","Adm","adrenomedullin","Mrgprx2","MAS-related GPR, member X2"
"46","Adm_ramp2","Adm","adrenomedullin","Ramp2","receptor (G protein-coupled) activity modifying protein 2"
"47","Agrn_atp1a3","Agrn","agrin","Atp1a3","ATPase, Na+/K+ transporting, alpha 3 polypeptide"
"48","Agrn_lrp4","Agrn","agrin","Lrp4","low density lipoprotein receptor-related protein 4"
"49","Agrn_musk","Agrn","agrin","Musk","muscle, skeletal, receptor tyrosine kinase"
"50","Agrp_mc3r","Agrp","agouti related protein homolog (mouse)","Mc3r","melanocortin 3 receptor"
"51","Agrp_mc4r","Agrp","agouti related protein homolog (mouse)","Mc4r","melanocortin 4 receptor"
"52","Agrp_mc5r","Agrp","agouti related protein homolog (mouse)","Mc5r","melanocortin 5 receptor"
"53","Agrp_sdc3","Agrp","agouti related protein homolog (mouse)","Sdc3","syndecan 3"
"54","Agt_agtr1","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agtr1","angiotensin II receptor, type 1"
"55","Agt_agtr2","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agtr2","angiotensin II receptor, type 2"
"56","Agt_lrp2","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Lrp2","low density lipoprotein receptor-related protein 2"
"57","Agt_mas1","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Mas1","MAS1 oncogene"
"58","Ahsg_insr","Ahsg","alpha-2-HS-glycoprotein","Insr","insulin receptor"
"59","Alb_lrp2","Alb","albumin","Lrp2","low density lipoprotein receptor-related protein 2"
"60","Alox5ap_alox5","Alox5ap","arachidonate 5-lipoxygenase-activating protein","Alox5","arachidonate 5-lipoxygenase"
"61","Amelx_lamp1","Amelx","amelogenin, X-linked","Lamp1","lysosomal-associated membrane protein 1"
"62","Amely_lamp1","Amely","amelogenin, Y-linked","Lamp1","lysosomal-associated membrane protein 1"
"63","Amh_acvr1","Amh","anti-Mullerian hormone","Acvr1","activin A receptor, type I"
"64","Amh_amhr2","Amh","anti-Mullerian hormone","Amhr2","anti-Mullerian hormone receptor, type II"
"65","Amh_egfr","Amh","anti-Mullerian hormone","Egfr","epidermal growth factor receptor"
"66","Angpt1_itga5","Angpt1","angiopoietin 1","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"67","Angpt1_itgb1","Angpt1","angiopoietin 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"68","Angpt1_tek","Angpt1","angiopoietin 1","Tek","TEK tyrosine kinase, endothelial"
"69","Angpt1_tie1","Angpt1","angiopoietin 1","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"70","Angpt2_tek","Angpt2","angiopoietin 2","Tek","TEK tyrosine kinase, endothelial"
"71","Angpt2_tie1","Angpt2","angiopoietin 2","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"72","Angpt4_tek","Angpt4","angiopoietin 4","Tek","TEK tyrosine kinase, endothelial"
"73","Angpt4_tie1","Angpt4","angiopoietin 4","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"74","Angptl1_tek","Angptl1","angiopoietin-like 1","Tek","TEK tyrosine kinase, endothelial"
"75","Angptl2_tie1","Angptl2","angiopoietin-like 2","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"76","Angptl3_itga5","Angptl3","angiopoietin-like 3","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"77","Angptl3_itgav","Angptl3","angiopoietin-like 3","Itgav","integrin, alpha V"
"78","Angptl3_itgb3","Angptl3","angiopoietin-like 3","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
"79","Angptl4_tie1","Angptl4","angiopoietin-like 4","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"80","Anxa1_dysf","Anxa1","annexin A1","Dysf","dysferlin"
"81","Anxa1_egfr","Anxa1","annexin A1","Egfr","epidermal growth factor receptor"
"82","Anxa1_fpr1","Anxa1","annexin A1","Fpr1","formyl peptide receptor 1"
"83","Anxa1_fpr2","Anxa1","annexin A1","Fpr2","formyl peptide receptor 2"
"84","Anxa1_fpr3","Anxa1","annexin A1","Fpr3","formyl peptide receptor 3"
"85","Apln_aplnr","Apln","apelin","Aplnr","apelin receptor"
"86","Apob_calcr","Apob","apolipoprotein B","Calcr","calcitonin receptor"
"87","Apob_itgam","Apob","apolipoprotein B","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"88","Apob_itgb2","Apob","apolipoprotein B","Itgb2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
"89","Apob_ldlr","Apob","apolipoprotein B","Ldlr","low density lipoprotein receptor"
"90","Apob_lrp2","Apob","apolipoprotein B","Lrp2","low density lipoprotein receptor-related protein 2"
"91","Apob_lrp6","Apob","apolipoprotein B","Lrp6","low density lipoprotein receptor-related protein 6"
"92","Apob_lrp8","Apob","apolipoprotein B","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
"93","Apob_lsr","Apob","apolipoprotein B","Lsr","lipolysis stimulated lipoprotein receptor"
"94","Apob_olr1","Apob","apolipoprotein B","Olr1","oxidized low density lipoprotein (lectin-like) receptor 1"
"95","Apoc3_sdc2","Apoc3","apolipoprotein C-III","Sdc2","syndecan 2"
"96","Apoc3_tlr2","Apoc3","apolipoprotein C-III","Tlr2","toll-like receptor 2"
"97","Apod_lepr","Apod","apolipoprotein D","Lepr","leptin receptor"
"98","Apoe_chrna4","Apoe","apolipoprotein E","Chrna4","cholinergic receptor, nicotinic, alpha 4 (neuronal)"
"99","Apoe_ldlr","Apoe","apolipoprotein E","Ldlr","low density lipoprotein receptor"
"100","Apoe_lrp1","Apoe","apolipoprotein E","Lrp1","low density lipoprotein receptor-related protein 1"
"101","Apoe_lrp2","Apoe","apolipoprotein E","Lrp2","low density lipoprotein receptor-related protein 2"
"102","Apoe_lrp5","Apoe","apolipoprotein E","Lrp5","low density lipoprotein receptor-related protein 5"
"103","Apoe_lrp8","Apoe","apolipoprotein E","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
"104","Apoe_scarb1","Apoe","apolipoprotein E","Scarb1","scavenger receptor class B, member 1"
"105","Apoe_sorl1","Apoe","apolipoprotein E","Sorl1","sortilin-related receptor, L(DLR class) A repeats containing"
"106","Apoe_vldlr","Apoe","apolipoprotein E","Vldlr","very low density lipoprotein receptor"
"107","App_cav1","App","amyloid beta (A4) precursor protein","Cav1","caveolin 1, caveolae protein, 22kDa"
"108","App_cd74","App","amyloid beta (A4) precursor protein","Cd74","CD74 molecule, major histocompatibility complex, class II invariant chain"
"109","App_fpr2","App","amyloid beta (A4) precursor protein","Fpr2","formyl peptide receptor 2"
"110","App_gpc1","App","amyloid beta (A4) precursor protein","Gpc1","glypican 1"
"111","App_lrp1","App","amyloid beta (A4) precursor protein","Lrp1","low density lipoprotein receptor-related protein 1"
"112","App_ncstn","App","amyloid beta (A4) precursor protein","Ncstn","nicastrin"
"113","App_ngfr","App","amyloid beta (A4) precursor protein","Ngfr","nerve growth factor receptor"
"114","App_slc45a3","App","amyloid beta (A4) precursor protein","Slc45a3","solute carrier family 45, member 3"
"115","App_tnfrsf21","App","amyloid beta (A4) precursor protein","Tnfrsf21","tumor necrosis factor receptor superfamily, member 21"
"116","Aregb_egfr","Aregb","amphiregulin B","Egfr","epidermal growth factor receptor"
"117","Aregb_erbb3","Aregb","amphiregulin B","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3"
"118","Areg_egfr","Areg","amphiregulin","Egfr","epidermal growth factor receptor"
"119","Areg_erbb3","Areg","amphiregulin","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3"
"120","Arf1_chrm3","Arf1","ADP-ribosylation factor 1","Chrm3","cholinergic receptor, muscarinic 3"
"121","Arf1_insr","Arf1","ADP-ribosylation factor 1","Insr","insulin receptor"
"122","Arf1_pld2","Arf1","ADP-ribosylation factor 1","Pld2","phospholipase D2"
"123","Artn_gfra1","Artn","artemin","Gfra1","GDNF family receptor alpha 1"
"124","Artn_gfra3","Artn","artemin","Gfra3","GDNF family receptor alpha 3"
"125","Artn_ret","Artn","artemin","Ret","ret proto-oncogene"
"126","Asip_atrn","Asip","agouti signaling protein","Atrn","attractin"
"127","Asip_f11r","Asip","agouti signaling protein","F11r","F11 receptor"
"128","Asip_mc1r","Asip","agouti signaling protein","Mc1r","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)"
"129","Asip_mc2r","Asip","agouti signaling protein","Mc2r","melanocortin 2 receptor (adrenocorticotropic hormone)"
"130","Asip_mc3r","Asip","agouti signaling protein","Mc3r","melanocortin 3 receptor"
"131","Asip_mc4r","Asip","agouti signaling protein","Mc4r","melanocortin 4 receptor"
"132","Asip_mc5r","Asip","agouti signaling protein","Mc5r","melanocortin 5 receptor"
"133","Asip_mgrn1","Asip","agouti signaling protein","Mgrn1","mahogunin ring finger 1, E3 ubiquitin protein ligase"
"134","Avp_avpr1a","Avp","arginine vasopressin","Avpr1a","arginine vasopressin receptor 1A"
"135","Avp_avpr1b","Avp","arginine vasopressin","Avpr1b","arginine vasopressin receptor 1B"
"136","Avp_avpr2","Avp","arginine vasopressin","Avpr2","arginine vasopressin receptor 2"
"137","Avp_oxtr","Avp","arginine vasopressin","Oxtr","oxytocin receptor"
"138","Azgp1_itgav","Azgp1","alpha-2-glycoprotein 1, zinc-binding","Itgav","integrin, alpha V"
"139","B2m_cd1a","B2m","beta-2-microglobulin","Cd1a","CD1a molecule"
"140","B2m_cd1b","B2m","beta-2-microglobulin","Cd1b","CD1b molecule"
"141","B2m_cd247","B2m","beta-2-microglobulin","Cd247","CD247 molecule"
"142","B2m_cd3d","B2m","beta-2-microglobulin","Cd3d","CD3d molecule, delta (CD3-TCR complex)"
"143","B2m_cd3g","B2m","beta-2-microglobulin","Cd3g","CD3g molecule, gamma (CD3-TCR complex)"
"144","B2m_hfe","B2m","beta-2-microglobulin","Hfe","hemochromatosis"
"145","B2m_hla-f","B2m","beta-2-microglobulin","Hla-f","major histocompatibility complex, class I, F"
"146","B2m_kir2dl1","B2m","beta-2-microglobulin","Kir2dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"
"147","B2m_kir2dl3","B2m","beta-2-microglobulin","Kir2dl3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
"148","B2m_kir3dl1","B2m","beta-2-microglobulin","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
"149","B2m_klrc1","B2m","beta-2-microglobulin","Klrc1","killer cell lectin-like receptor subfamily C, member 1"
"150","B2m_klrd1","B2m","beta-2-microglobulin","Klrd1","killer cell lectin-like receptor subfamily D, member 1"
"151","B2m_lilrb1","B2m","beta-2-microglobulin","Lilrb1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"152","B2m_lilrb2","B2m","beta-2-microglobulin","Lilrb2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
"153","B2m_tfrc","B2m","beta-2-microglobulin","Tfrc","transferrin receptor"
"154","Bcan_egfr","Bcan","brevican","Egfr","epidermal growth factor receptor"
"155","Bcan_nrcam","Bcan","brevican","Nrcam","neuronal cell adhesion molecule"
"156","Bdnf_ddr1","Bdnf","brain-derived neurotrophic factor","Ddr1","discoidin domain receptor tyrosine kinase 1"
"157","Bdnf_drd4","Bdnf","brain-derived neurotrophic factor","Drd4","dopamine receptor D4"
"158","Bdnf_ngfr","Bdnf","brain-derived neurotrophic factor","Ngfr","nerve growth factor receptor"
"159","Bdnf_ngfrap1","Bdnf","brain-derived neurotrophic factor","Ngfrap1","nerve growth factor receptor (TNFRSF16) associated protein 1"
"160","Bdnf_ntrk2","Bdnf","brain-derived neurotrophic factor","Ntrk2","neurotrophic tyrosine kinase, receptor, type 2"
"161","Bdnf_sort1","Bdnf","brain-derived neurotrophic factor","Sort1","sortilin 1"
"162","Bgn_ly96","Bgn","biglycan","Ly96","lymphocyte antigen 96"
"163","Bgn_tlr1","Bgn","biglycan","Tlr1","toll-like receptor 1"
"164","Bgn_tlr2","Bgn","biglycan","Tlr2","toll-like receptor 2"
"165","Bgn_tlr4","Bgn","biglycan","Tlr4","toll-like receptor 4"
"166","Bmp10_acvr1","Bmp10","bone morphogenetic protein 10","Acvr1","activin A receptor, type I"
"167","Bmp10_acvr2a","Bmp10","bone morphogenetic protein 10","Acvr2a","activin A receptor, type IIA"
"168","Bmp10_acvr2b","Bmp10","bone morphogenetic protein 10","Acvr2b","activin A receptor, type IIB"
"169","Bmp10_acvrl1","Bmp10","bone morphogenetic protein 10","Acvrl1","activin A receptor type II-like 1"
"170","Bmp10_bmpr1a","Bmp10","bone morphogenetic protein 10","Bmpr1a","bone morphogenetic protein receptor, type IA"
"171","Bmp10_bmpr1b","Bmp10","bone morphogenetic protein 10","Bmpr1b","bone morphogenetic protein receptor, type IB"
"172","Bmp10_bmpr2","Bmp10","bone morphogenetic protein 10","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"173","Bmp10_eng","Bmp10","bone morphogenetic protein 10","Eng","endoglin"
"174","Bmp15_acvr1","Bmp15","bone morphogenetic protein 15","Acvr1","activin A receptor, type I"
"175","Bmp15_acvr2a","Bmp15","bone morphogenetic protein 15","Acvr2a","activin A receptor, type IIA"
"176","Bmp15_acvr2b","Bmp15","bone morphogenetic protein 15","Acvr2b","activin A receptor, type IIB"
"177","Bmp15_bmpr1a","Bmp15","bone morphogenetic protein 15","Bmpr1a","bone morphogenetic protein receptor, type IA"
"178","Bmp15_bmpr1b","Bmp15","bone morphogenetic protein 15","Bmpr1b","bone morphogenetic protein receptor, type IB"
"179","Bmp15_bmpr2","Bmp15","bone morphogenetic protein 15","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"180","Bmp2_acvr1","Bmp2","bone morphogenetic protein 2","Acvr1","activin A receptor, type I"
"181","Bmp2_acvr2a","Bmp2","bone morphogenetic protein 2","Acvr2a","activin A receptor, type IIA"
"182","Bmp2_acvr2b","Bmp2","bone morphogenetic protein 2","Acvr2b","activin A receptor, type IIB"
"183","Bmp2_bmpr1a","Bmp2","bone morphogenetic protein 2","Bmpr1a","bone morphogenetic protein receptor, type IA"
"184","Bmp2_bmpr1b","Bmp2","bone morphogenetic protein 2","Bmpr1b","bone morphogenetic protein receptor, type IB"
"185","Bmp2_bmpr2","Bmp2","bone morphogenetic protein 2","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"186","Bmp2_eng","Bmp2","bone morphogenetic protein 2","Eng","endoglin"
"187","Bmp2_hfe2","Bmp2","bone morphogenetic protein 2","Hfe2","hemochromatosis type 2 (juvenile)"
"188","Bmp3_acvr1","Bmp3","bone morphogenetic protein 3","Acvr1","activin A receptor, type I"
"189","Bmp3_acvr2a","Bmp3","bone morphogenetic protein 3","Acvr2a","activin A receptor, type IIA"
"190","Bmp3_acvr2b","Bmp3","bone morphogenetic protein 3","Acvr2b","activin A receptor, type IIB"
"191","Bmp3_bmpr1a","Bmp3","bone morphogenetic protein 3","Bmpr1a","bone morphogenetic protein receptor, type IA"
"192","Bmp3_bmpr1b","Bmp3","bone morphogenetic protein 3","Bmpr1b","bone morphogenetic protein receptor, type IB"
"193","Bmp3_bmpr2","Bmp3","bone morphogenetic protein 3","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"194","Bmp4_acvr1","Bmp4","bone morphogenetic protein 4","Acvr1","activin A receptor, type I"
"195","Bmp4_acvr2a","Bmp4","bone morphogenetic protein 4","Acvr2a","activin A receptor, type IIA"
"196","Bmp4_acvr2b","Bmp4","bone morphogenetic protein 4","Acvr2b","activin A receptor, type IIB"
"197","Bmp4_bmpr1a","Bmp4","bone morphogenetic protein 4","Bmpr1a","bone morphogenetic protein receptor, type IA"
"198","Bmp4_bmpr1b","Bmp4","bone morphogenetic protein 4","Bmpr1b","bone morphogenetic protein receptor, type IB"
"199","Bmp4_bmpr2","Bmp4","bone morphogenetic protein 4","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"200","Bmp4_hfe2","Bmp4","bone morphogenetic protein 4","Hfe2","hemochromatosis type 2 (juvenile)"
"201","Bmp5_acvr1","Bmp5","bone morphogenetic protein 5","Acvr1","activin A receptor, type I"
"202","Bmp5_acvr2a","Bmp5","bone morphogenetic protein 5","Acvr2a","activin A receptor, type IIA"
"203","Bmp5_acvr2b","Bmp5","bone morphogenetic protein 5","Acvr2b","activin A receptor, type IIB"
"204","Bmp5_bmpr1a","Bmp5","bone morphogenetic protein 5","Bmpr1a","bone morphogenetic protein receptor, type IA"
"205","Bmp5_bmpr1b","Bmp5","bone morphogenetic protein 5","Bmpr1b","bone morphogenetic protein receptor, type IB"
"206","Bmp5_bmpr2","Bmp5","bone morphogenetic protein 5","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"207","Bmp5_hfe2","Bmp5","bone morphogenetic protein 5","Hfe2","hemochromatosis type 2 (juvenile)"
"208","Bmp6_acvr1","Bmp6","bone morphogenetic protein 6","Acvr1","activin A receptor, type I"
"209","Bmp6_acvr2a","Bmp6","bone morphogenetic protein 6","Acvr2a","activin A receptor, type IIA"
"210","Bmp6_acvr2b","Bmp6","bone morphogenetic protein 6","Acvr2b","activin A receptor, type IIB"
"211","Bmp6_bmpr1a","Bmp6","bone morphogenetic protein 6","Bmpr1a","bone morphogenetic protein receptor, type IA"
"212","Bmp6_bmpr1b","Bmp6","bone morphogenetic protein 6","Bmpr1b","bone morphogenetic protein receptor, type IB"
"213","Bmp6_bmpr2","Bmp6","bone morphogenetic protein 6","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"214","Bmp7_acvr1","Bmp7","bone morphogenetic protein 7","Acvr1","activin A receptor, type I"
"215","Bmp7_acvr2a","Bmp7","bone morphogenetic protein 7","Acvr2a","activin A receptor, type IIA"
"216","Bmp7_acvr2b","Bmp7","bone morphogenetic protein 7","Acvr2b","activin A receptor, type IIB"
"217","Bmp7_bmpr1a","Bmp7","bone morphogenetic protein 7","Bmpr1a","bone morphogenetic protein receptor, type IA"
"218","Bmp7_bmpr1b","Bmp7","bone morphogenetic protein 7","Bmpr1b","bone morphogenetic protein receptor, type IB"
"219","Bmp7_bmpr2","Bmp7","bone morphogenetic protein 7","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"220","Bmp7_eng","Bmp7","bone morphogenetic protein 7","Eng","endoglin"
"221","Bmp8b_acvr1","Bmp8b","bone morphogenetic protein 8b","Acvr1","activin A receptor, type I"
"222","Bmp8b_acvr2a","Bmp8b","bone morphogenetic protein 8b","Acvr2a","activin A receptor, type IIA"
"223","Bmp8b_acvr2b","Bmp8b","bone morphogenetic protein 8b","Acvr2b","activin A receptor, type IIB"
"224","Bmp8b_bmpr1a","Bmp8b","bone morphogenetic protein 8b","Bmpr1a","bone morphogenetic protein receptor, type IA"
"225","Bmp8b_bmpr1b","Bmp8b","bone morphogenetic protein 8b","Bmpr1b","bone morphogenetic protein receptor, type IB"
"226","Bmp8b_bmpr2","Bmp8b","bone morphogenetic protein 8b","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"227","Bst1_cav1","Bst1","bone marrow stromal cell antigen 1","Cav1","caveolin 1, caveolae protein, 22kDa"
"228","Btc_egfr","Btc","betacellulin","Egfr","epidermal growth factor receptor"
"229","Btc_erbb2","Btc","betacellulin","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2"
"230","Btc_erbb3","Btc","betacellulin","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3"
"231","Btc_erbb4","Btc","betacellulin","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"232","Btla_cd247","Btla","B and T lymphocyte associated","Cd247","CD247 molecule"
"233","Btla_cd79a","Btla","B and T lymphocyte associated","Cd79a","CD79a molecule, immunoglobulin-associated alpha"
"234","Btla_tnfrsf14","Btla","B and T lymphocyte associated","Tnfrsf14","tumor necrosis factor receptor superfamily, member 14"
"235","Btla_vtcn1","Btla","B and T lymphocyte associated","Vtcn1","V-set domain containing T cell activation inhibitor 1"
"236","C1qa_cd93","C1qa","complement component 1, q subcomponent, A chain","Cd93","CD93 molecule"
"237","C1qa_cr1","C1qa","complement component 1, q subcomponent, A chain","Cr1","complement component (3b/4b) receptor 1 (Knops blood group)"
"238","C1qa_cspg4","C1qa","complement component 1, q subcomponent, A chain","Cspg4","chondroitin sulfate proteoglycan 4"
"239","C1qb_lrp1","C1qb","complement component 1, q subcomponent, B chain","Lrp1","low density lipoprotein receptor-related protein 1"
"240","C1qtnf1_avpr2","C1qtnf1","C1q and tumor necrosis factor related protein 1","Avpr2","arginine vasopressin receptor 2"
"241","C1qtnf5_mfrp","C1qtnf5","C1q and tumor necrosis factor related protein 5","Mfrp","membrane frizzled-related protein"
"242","C1orf112_plscr4","C1orf112","chromosome 1 open reading frame 112","Plscr4","phospholipid scramblase 4"
"243","C1orf194_plscr4","C1orf194","chromosome 1 open reading frame 194","Plscr4","phospholipid scramblase 4"
"244","C1orf200_ly6g6c","C1orf200","chromosome 1 open reading frame 200","Ly6g6c","lymphocyte antigen 6 complex, locus G6C"
"245","C1orf200_slc16a4","C1orf200","chromosome 1 open reading frame 200","Slc16a4","solute carrier family 16, member 4"
"246","C3_c3ar1","C3","complement component 3","C3ar1","complement component 3a receptor 1"
"247","C3_c5ar2","C3","complement component 3","C5ar2","complement component 5a receptor 2"
"248","C3_cd19","C3","complement component 3","Cd19","CD19 molecule"
"249","C3_cd46","C3","complement component 3","Cd46","CD46 molecule, complement regulatory protein"
"250","C3_cd81","C3","complement component 3","Cd81","CD81 molecule"
"251","C3_cr1","C3","complement component 3","Cr1","complement component (3b/4b) receptor 1 (Knops blood group)"
"252","C3_ifitm1","C3","complement component 3","Ifitm1","interferon induced transmembrane protein 1"
"253","C3_itgam","C3","complement component 3","Itgam","integrin, alpha M (complement component 3 receptor 3 subunit)"
"254","C3_itgax","C3","complement component 3","Itgax","integrin, alpha X (complement component 3 receptor 4 subunit)"
